1565852400000,2,4,5,2
1565766000000,7,5,7,5
1565679600000,4,0,1,9
1565593200000,3,7,1,8
1565506800000,5,3,0,8
1565420400000,0,8,0,4
1565334000000,7,0,9,5
1565247600000,4,4,6,7
1565161200000,1,5,8,0
1565074800000,4,5,2,1
1564988400000,3,9,8,4
1564902000000,3,4,8,2
1564815600000,2,0,8,2
1564729200000,5,4,0,7
1564642800000,7,8,4,3
1564556400000,0,2,2,1
1564470000000,9,6,1,2
1564383600000,5,4,4,7
1564297200000,3,0,2,9
1564210800000,5,0,9,4
1564124400000,2,8,6,7
1564038000000,0,7,8,8
1563951600000,6,1,2,6
1563865200000,8,2,8,4
1563778800000,9,8,5,4
1563692400000,8,2,5,2
1563606000000,1,7,8,4
1563519600000,2,3,3,2
1563433200000,6,7,2,6
1563346800000,5,7,4,9
1563260400000,1,9,5,9
1563174000000,8,7,0,0
1563087600000,9,3,0,4
1563001200000,8,3,3,8
1562914800000,1,2,4,8
1562828400000,0,7,0,4
1562742000000,3,9,9,6
1562655600000,3,4,2,6
1562569200000,0,4,1,6
1562482800000,5,2,4,4
1562396400000,5,7,8,4
1562310000000,5,6,2,7
1562223600000,2,2,9,3
1562137200000,3,4,2,2
1562050800000,2,4,0,7
1561964400000,6,7,1,2
1561878000000,7,2,9,1
1561791600000,1,1,7,3
1561705200000,2,9,3,2
1561618800000,5,2,0,7
1561532400000,3,4,8,4
1561446000000,1,5,2,1
1561359600000,4,3,1,4
1561273200000,4,5,1,9
1561186800000,6,5,0,6
1561100400000,0,0,2,1
1561014000000,8,1,4,1
1560927600000,7,9,2,8
1560841200000,2,3,7,3
1560754800000,3,6,8,5
1560668400000,2,1,0,5
1560582000000,1,7,7,4
1560495600000,0,8,1,8
1560409200000,0,1,1,5
1560322800000,9,5,6,1
1560236400000,8,5,0,5
1560150000000,2,3,2,1
1560063600000,4,7,3,0
1559977200000,1,7,3,5
1559890800000,2,2,7,0
1559804400000,3,7,4,3
1559718000000,7,9,2,1
1559631600000,7,8,8,9
1559545200000,2,3,6,6
1559458800000,1,8,6,0
1559372400000,2,6,2,9
1559286000000,0,5,5,7
1559199600000,0,2,3,7
1559113200000,2,6,8,8
1559026800000,3,4,0,3
1558940400000,3,8,4,3
1558854000000,1,9,4,7
1558767600000,3,7,9,6
1558681200000,2,2,5,7
1558594800000,3,6,7,8
1558508400000,5,9,8,9
1558422000000,0,5,6,7
1558335600000,3,5,0,9
1558249200000,5,9,6,7
1558162800000,0,2,3,1
1558076400000,7,1,7,1
1557990000000,8,2,5,9
1557903600000,2,3,0,0
1557817200000,4,8,4,3
1557730800000,6,7,2,4
1557644400000,3,7,5,4
1557558000000,6,9,4,8
1557471600000,2,2,3,9
1557385200000,8,2,2,7
1557298800000,1,5,9,5
1557212400000,7,5,3,6
1557126000000,8,5,7,3
1557039600000,1,9,5,5
